Reading DB: .tmp_input.txt
side = -1  chi2_best = 1.24486 MIRRORED= 5.70183
FITSHAPE  57.2152  -244.023
FITSHAPE  58.4572  -244.433
FITSHAPE  59.7386  -244.692
FITSHAPE  61.0265  -244.913
FITSHAPE  62.3186  -245.097
FITSHAPE  63.6134  -245.249
FITSHAPE  64.9109  -245.373
FITSHAPE  66.209  -245.473
FITSHAPE  67.5079  -245.551
FITSHAPE  68.8072  -245.612
FITSHAPE  70.1064  -245.657
FITSHAPE  71.4056  -245.69
FITSHAPE  72.7048  -245.714
FITSHAPE  74.0037  -245.731
FITSHAPE  75.3025  -245.746
FITSHAPE  76.6014  -245.757
FITSHAPE  77.9002  -245.77
FITSHAPE  79.1991  -245.784
FITSHAPE  80.498  -245.801
FITSHAPE  81.797  -245.82
FITSHAPE  83.096  -245.843
FITSHAPE  84.3951  -245.87
FITSHAPE  85.6943  -245.9
FITSHAPE  86.9936  -245.937
FITSHAPE  88.2929  -245.98
FITSHAPE  89.5922  -246.029
FITSHAPE  90.8914  -246.09
FITSHAPE  92.1906  -246.161
FITSHAPE  93.4893  -246.247
FITSHAPE  94.7875  -246.349
FITSHAPE  96.0848  -246.469
FITSHAPE  97.3806  -246.612
FITSHAPE  98.6746  -246.777
FITSHAPE  99.9659  -246.968
FITSHAPE  101.254  -247.187
FITSHAPE  102.538  -247.434
FITSHAPE  103.816  -247.711
FITSHAPE  105.089  -248.02
FITSHAPE  106.355  -248.36
FITSHAPE  107.612  -248.732
FITSHAPE  108.861  -249.136
FITSHAPE  110.1  -249.573
FITSHAPE  111.328  -250.043
FITSHAPE  112.544  -250.545
FITSHAPE  113.747  -251.079
FITSHAPE  114.937  -251.643
FITSHAPE  116.113  -252.239
FITSHAPE  117.274  -252.864
FITSHAPE  118.42  -253.518
FITSHAPE  119.55  -254.2
FITSHAPE  120.663  -254.91
FITSHAPE  121.761  -255.645
FITSHAPE  122.842  -256.404
FITSHAPE  123.907  -257.187
FITSHAPE  124.955  -257.993
FITSHAPE  125.986  -258.819
FITSHAPE  127.002  -259.665
FITSHAPE  128.002  -260.531
